lat_deg,lon_deg,depth_km,neuron_idx
-39.8315304542656,174.91306850412954,36.61175624578921,0
-38.63894172248422,176.57206483132902,40.85917405200911,1
-41.02046084603785,173.1797682352099,45.96521878295318,2
-39.844935617140166,175.12970792941186,56.271311896422155,3
-41.241795477362075,172.72680569952374,69.66638446044813,4
-40.84859085316072,173.14109372328696,98.2873074208316,5
-39.435416682531084,175.69648300365094,83.63806981483002,6
-39.616434364184826,175.89052189068647,52.39693356956136,7
-39.841884004627076,175.48671005017331,47.179801417444516,8
-39.24137674793266,175.51404724916193,47.880803133539395,9
-39.1381165046914,176.20061423438545,59.560147740244524,10
-40.053121802407205,174.74588584629473,69.71995939851425,11
-38.677267070200365,176.0295107256824,117.44380787554249,12
-38.94480883684634,175.48139763300486,74.78033127444967,13
-40.558677561123964,173.89558511306961,84.92030240482099,14
-41.64268788053992,172.62661795437793,64.28626548534996,15
-40.222582725914975,174.5895237770022,48.53298153766648,16
-40.065495980142735,175.30157355856826,58.346236786388445,17
-39.20405005166055,176.28230758808556,70.861240026492,18
-39.160093769317314,175.92070937643132,79.61299296960541,19
-39.12508798315028,176.40310405504047,71.80775214753514,20
-41.163592883218115,173.0254527209173,35.58605582992944,21
-41.24324814343602,173.79503872829662,44.01490539707758,22
-40.784456314222176,173.89682686842946,42.23075603745644,23
-40.88116686863223,174.35472360196337,46.83137909699151,24
-39.45092313434161,175.54189977879102,53.81243388098593,25
-38.760426935815,176.57014130775767,58.062472173422975,26
-38.36101508190278,177.30126545370365,67.50160691401913,27
-42.421016987984665,172.33429634926816,35.054036823058325,28
-41.82308961283269,172.7466612004173,55.84715375524573,29
-40.64624041752945,120.03848183939218,38.35400583380532,30
-40.09557263963817,175.06291258805607,60.71646769267384,31
-40.54146275307906,174.54375122790438,48.80296760120458,32
-38.973257876735424,176.95706417839295,50.83793847924208,33
-38.79657128627204,176.56858543295053,82.09918958723273,34
-43.3775748217079,170.73136384803817,29.28650245644831,35
-41.869136480679664,172.7877341976192,31.579287623335492,36
-41.91068635060323,173.2052927571224,34.13299412836859,37
-40.623454792809646,175.03382972870173,41.980541688850565,38
-40.13332652819674,175.71035243776493,45.72640307434893,39
-39.232764137772406,176.8353008564338,45.147204900316524,40
-39.02972201168807,176.35704510251287,80.23465372104795,41
-42.31270387909547,172.66805285325012,36.336816132920134,42
-42.81552168687049,171.37541965541962,27.719616018520462,43
-42.027587569951,172.86513098225032,29.136787644755756,44
-40.826990164196054,174.5240944102839,35.68148911512945,45
-40.687411925326465,174.95948077946167,38.98185458932328,46
-39.627639149628976,175.89177828250538,38.54817741725051,47
-39.16311627907762,176.34296933971382,58.90914643065075,48
