date,time,latitude,longitude,depth,magnitude
1983-10-26,14:29:14.51,-36.32,-179.37,165.0,4.888
1983-11-12,08:39:17.93,-38.03,176.86,106.0,5.16
1983-11-17,11:34:21.23,-41.11,174.62,55.0,4.94
1984-01-03,22:55:39.02,-40.53,174.19,104.0,5.2
1984-01-29,12:35:48.30,-41.64,173.95,8.0,5.124
1984-02-21,08:23:40.74,-38.9,175.7,8.0,5.33
1984-02-21,15:31:11.88,-40.35,173.58,141.0,4.989
1984-03-05,02:07:17.60,-38.92,175.78999,5.0,4.96
1984-03-08,00:40:52.50,-38.2,177.44,75.0,5.9
1984-03-14,05:34:44.37,-38.85,175.05,238.0,5.233
1984-03-20,13:41:44.52,-37.27,176.78,226.0,5.2
1984-04-12,16:12:48.13,-37.9,178.14,25.0,5.15
1984-04-16,14:51:58.15,-44.53,168.28999,5.0,4.89
1984-05-05,05:28:25.95,-42.25,172.78,12.0,5.078
1984-05-05,05:33:30.09,-42.21,172.78,12.0,4.947
1984-06-02,12:20:31.80,-42.3,172.74001,12.0,5.238
1984-06-09,14:03:11.97,-38.3,175.78999,200.0,4.938
1984-06-16,01:18:36.41,-35.25,178.58,218.0,4.877
1984-06-24,13:29:40.72,-43.58659,170.63451,12.0,6.1
1984-06-24,13:43:27.87,-43.68,170.67,5.0,5.133
1984-06-28,01:51:59.20,-38.91,176.57001,77.0,5.133
1984-06-28,02:35:48.89,-35.58,179.05,206.0,4.888
1984-07-18,15:27:52.28,-38.43,175.88,210.0,5.236
1984-08-06,16:02:57.90,-43.22,172.14,12.0,4.93
1984-08-17,18:41:59.53,-39.56,176.57001,84.0,5.343
1984-09-12,06:13:52.87,-38.08,175.74001,292.0,5.0
1984-09-21,16:46:58.84,-37.99,176.85001,152.0,4.988
1984-09-27,21:41:05.70,-44.15,168.56,1.0,5.142
1984-10-02,18:52:44.78,-39.07,174.84,214.0,5.018
1984-10-11,08:21:26.90,-33.77,-179.02,33.0,5.7
1984-10-11,20:19:56.27,-38.22,175.84,203.0,4.909
1984-11-09,16:13:46.17,-39.91,176.75,76.0,4.95
1984-11-11,10:35:27.11,-42.34,173.17,12.0,4.93
1984-11-12,22:56:33.20,-37.54,179.22,27.0,4.968
1984-12-01,09:08:15.79,-39.23,174.64999,199.0,4.882
1984-12-18,05:49:01.96,-37.12,176.57001,438.0,5.54
1984-12-28,04:27:59.37,-36.57,177.59,12.0,4.9
1984-12-28,04:57:36.37,-36.53,177.58,12.0,4.929
1984-12-28,11:16:58.12,-36.62,177.57001,12.0,5.243
1984-12-28,13:05:35.23,-36.66,177.53,12.0,5.1
1984-12-28,13:58:13.84,-36.65,177.63,12.0,5.417
1984-12-28,18:20:15.52,-36.55,177.64999,12.0,5.7
1984-12-28,19:00:26.68,-36.53,177.62,12.0,4.929
1984-12-29,04:00:37.36,-36.69,177.58,12.0,4.86
1984-12-29,06:46:44.76,-36.71,177.53999,12.0,4.92
1984-12-29,17:22:12.78,-36.68,177.58,12.0,4.92
1984-12-29,18:33:05.90,-36.67,177.52,12.0,5.3
1984-12-29,21:07:40.80,-36.65,177.55,12.0,5.35
1984-12-30,05:24:55.29,-36.6,177.53999,12.0,4.86
1984-12-30,08:32:06.20,-36.6,177.52,12.0,5.2
1984-12-30,10:54:17.32,-36.59,177.55,12.0,5.08
1984-12-30,11:06:03.63,-36.6,177.50999,12.0,5.383
1984-12-30,12:40:16.47,-36.55,177.53,12.0,5.025
1984-12-30,14:59:11.23,-36.53,177.0,12.0,5.225
1984-12-30,15:06:47.85,-36.63,177.58,12.0,5.5
1984-12-30,16:31:51.33,-36.62,177.53999,12.0,5.125
1984-12-30,20:07:04.80,-36.72,177.61,12.0,5.133
1984-12-30,20:26:22.46,-36.57,177.47,12.0,5.4
1984-12-30,20:59:55.07,-36.65,177.57001,12.0,5.7
1984-12-30,21:03:17.72,-36.71,177.48,12.0,4.967
1984-12-30,21:23:47.52,-36.74,177.45,12.0,5.0
1984-12-30,21:28:36.88,-36.57,177.42999,12.0,5.2
1984-12-30,21:36:20.14,-36.56,177.49001,12.0,4.96
1984-12-30,21:36:54.86,-36.59,177.55,12.0,6.7
1984-12-30,21:43:50.77,-36.59,177.64999,12.0,4.95
1984-12-30,21:56:13.73,-36.88,177.39999,12.0,5.1
1984-12-30,22:21:45.20,-36.68,177.45,12.0,4.933
1984-12-30,22:22:21.95,-36.6,177.60001,12.0,5.367
1984-12-30,22:41:40.98,-36.7,177.60001,12.0,5.1
1984-12-31,00:52:54.14,-36.5,177.5,12.0,5.15
1984-12-31,04:53:01.65,-36.64,177.42,12.0,4.917
1984-12-31,05:51:52.78,-36.63,177.55,12.0,5.083
1984-12-31,07:42:03.54,-36.89,177.41,12.0,5.08
1984-12-31,09:59:07.95,-36.96,177.36,12.0,5.46
1984-12-31,16:03:01.30,-36.93,177.37,12.0,4.933
1984-12-31,20:45:11.25,-36.97,177.37,12.0,5.025
1985-01-01,05:12:46.59,-36.58,177.5,12.0,5.133
1985-01-01,16:40:24.87,-36.6,177.48,12.0,5.02
1985-01-01,16:48:06.97,-36.54,177.50999,12.0,5.017
1985-01-02,12:59:01.50,-36.64,177.55,12.0,5.35
1985-01-02,13:39:54.43,-36.62,177.58,12.0,5.24
1985-01-02,20:25:22.34,-36.93,177.33,12.0,5.3
1985-01-02,21:08:56.57,-36.55,177.53999,12.0,5.3
1985-01-02,22:15:52.38,-36.93,177.36,12.0,5.283
1985-01-03,16:46:08.81,-36.6,177.63,12.0,5.017
1985-01-05,08:48:30.21,-37.08,177.10001,12.0,4.867
1985-01-05,11:00:54.30,-36.61,177.57001,12.0,4.917
1985-01-06,17:09:53.82,-36.59,177.61,12.0,5.133
1985-01-06,18:32:05.47,-36.61,177.57001,12.0,5.6
1985-01-06,18:45:20.71,-36.64,177.62,12.0,5.15
1985-01-06,19:30:47.25,-36.63,177.53,12.0,5.52
1985-01-08,00:48:14.09,-36.59,177.52,12.0,4.883
1985-01-08,07:41:46.56,-36.54,177.62,12.0,5.7
1985-01-08,09:57:30.70,-36.57,177.61,12.0,5.275
1985-01-08,11:22:26.32,-36.6,177.66,12.0,5.05
1985-01-08,12:11:39.30,-37.1,177.37,12.0,5.16
1985-01-09,04:11:04.67,-36.49,177.62,12.0,4.917
1985-01-10,11:43:31.43,-36.56,177.55,12.0,5.22
1985-01-10,12:17:39.00,-36.57,177.50999,12.0,5.24
1985-01-10,14:15:12.88,-36.48,177.55,12.0,5.0
1985-01-10,15:30:46.79,-36.45,177.61,12.0,5.629
1985-01-10,21:39:01.57,-36.93,177.35001,12.0,5.05
1985-01-11,04:50:09.23,-36.5,177.62,12.0,5.267
1985-01-13,01:08:24.25,-36.43,177.5,12.0,5.55
1985-01-13,16:01:00.62,-36.74,177.37,12.0,5.4
1985-01-14,04:46:42.47,-36.58,177.39,12.0,5.175
1985-01-17,18:22:55.26,-36.74,177.41,12.0,4.9
1985-01-18,21:35:53.95,-36.46,177.36,12.0,4.9
1985-01-21,19:37:51.47,-36.6,177.52,12.0,4.9
1985-01-23,19:02:03.96,-38.0,177.47,40.0,5.5
1985-01-31,04:33:01.50,-46.11,165.05,33.0,6.2
1985-02-14,00:28:49.88,-36.34,179.53999,137.0,4.967
1985-03-07,07:57:26.38,-40.59,173.31,178.0,5.46
1985-03-23,22:32:12.59,-36.19,177.88,246.0,5.243
1985-04-04,17:32:42.50,-37.76,177.5,51.0,5.057
1985-04-07,16:42:27.68,-36.71,177.63,171.0,5.29
1985-04-11,11:55:10.60,-35.75,179.55,192.0,5.9
1985-04-25,23:27:07.50,-40.15,174.97,16.0,4.964
1985-04-28,23:00:56.40,-37.58,176.53999,12.0,5.014
1985-05-01,03:12:55.59,-38.04,176.21001,208.0,4.929
1985-05-06,17:10:05.20,-37.69,179.73,33.0,6.3
1985-05-08,23:09:56.05,-36.23,178.7,138.0,5.014
1985-05-22,06:56:07.54,-37.62,-179.44,33.0,5.05
1985-05-29,09:18:11.61,-37.53,-179.84,33.0,4.88
1985-06-08,08:22:54.30,-37.5,-179.77,33.0,4.855
1985-06-12,02:04:07.62,-45.13,167.67,86.0,5.1
1985-06-24,17:54:03.00,-37.72,-179.0,33.0,5.086
1985-06-28,18:54:15.45,-37.82,179.67,33.0,5.7
1985-07-04,05:24:21.79,-37.4,176.63,204.0,5.117
1985-07-05,22:51:17.32,-37.57,-179.78999,33.0,4.965
1985-07-19,14:33:59.40,-38.77,177.42,41.0,5.9
1985-07-20,19:11:22.54,-38.82,177.41,41.0,5.08
1985-09-12,12:53:02.40,-45.43,166.95,33.0,5.143
1985-09-14,02:54:19.49,-37.97,177.09,77.0,5.175
1985-09-21,13:50:15.73,-46.79,165.33,33.0,5.09
1985-09-26,07:27:49.88,-34.64,-178.02,33.0,6.9
1985-09-27,11:42:00.97,-37.81,176.27,206.0,5.183
1985-09-30,15:02:26.48,-45.12,167.63,119.0,5.117
1985-11-01,14:44:19.40,-38.73,177.10001,52.0,5.2
1985-11-07,19:12:32.70,-35.42,-178.77,33.0,6.5
1985-11-26,08:24:18.13,-34.77,177.11,12.0,5.133
1985-11-27,02:01:38.48,-36.98,178.24001,12.0,5.028
1986-02-12,22:32:32.30,-40.04,176.92,33.0,4.927
1986-02-24,16:24:56.23,-37.81,176.48,181.0,5.0
1986-03-04,08:56:58.33,-36.97,176.96001,244.0,5.367
1986-03-09,09:17:51.50,-40.33,173.42,220.0,5.656
1986-04-03,14:09:03.48,-45.86,164.75,33.0,5.246
1986-04-27,21:45:51.64,-35.73,178.37,226.0,5.1
1986-05-09,07:27:33.91,-37.62,-179.7,33.0,5.089
1986-05-16,00:27:40.37,-39.38,175.17,120.0,5.011
1986-06-20,23:26:34.88,-36.22,177.38,285.0,5.013
1986-07-01,13:36:09.31,-37.7,179.52,33.0,4.886
1986-07-10,20:36:27.91,-37.02,176.99001,243.0,5.371
1986-07-11,08:27:47.97,-46.0,166.22,33.0,5.6
1986-07-11,23:03:32.48,-43.23,172.14,12.0,5.238
1986-07-14,17:03:09.00,-40.53,174.28,107.0,5.243
1986-07-28,11:48:32.30,-39.19,175.06,175.0,5.3
1986-09-13,15:17:33.92,-32.76,-179.88,112.0,6.391
1986-09-18,01:05:41.68,-42.96,171.42,5.0,5.183
1986-10-10,00:34:15.91,-39.67,176.31,33.0,4.879
1986-10-15,15:05:21.07,-45.12,167.62,117.0,4.983
1986-10-27,04:25:21.37,-38.73,175.78999,152.0,5.9
1986-11-05,12:40:36.47,-37.11,177.61,114.0,5.0
1986-11-18,10:15:56.86,-36.26,177.78,276.0,5.3
1986-12-25,17:09:09.46,-38.4,176.00999,179.0,4.942
1986-12-30,13:07:58.50,-40.22,173.48,181.0,4.938
1987-01-11,01:13:33.19,-39.08675,174.95267,238.7106,5.065
1987-01-19,13:31:47.13,-32.95848,-178.79474,482.4184,4.859
1987-01-20,15:17:10.70,-32.48371,178.70644,449.4326,4.858
1987-01-23,15:25:20.22,-37.28022,177.58414,78.536,4.876
1987-01-28,00:49:15.97,-38.57342,175.46051,280.2487,4.977
1987-01-30,11:12:21.22,-37.99265,176.91614,92.5131,4.889
1987-02-03,00:26:57.87,-33.33334,-178.39745,33.0,4.986
1987-02-04,16:06:40.23,-34.27221,-179.32321,33.0,5.5
1987-02-05,23:39:12.95,-37.30408,177.7627,103.3699,5.01
1987-03-02,01:35:36.14,-37.89442,176.83902,0.4178,4.943
1987-03-02,01:42:34.99,-37.89126,176.80247,10.0,6.5
1987-03-02,01:50:57.77,-37.90633,176.72926,11.0,5.567
1987-03-02,02:07:49.77,-38.09999,176.64999,5.0,4.979
1987-03-02,07:55:08.16,-37.88496,176.83823,1.2331,4.961
1987-03-03,13:16:18.05,-32.61535,-178.41675,460.3513,4.872
1987-03-05,06:05:32.00,-33.76228,-179.2101,12.0,4.856
1987-03-07,07:57:07.84,-33.78493,-179.32896,209.3185,5.791
1987-03-08,09:22:55.14,-37.71696,176.2856,225.5191,5.062
1987-03-08,19:17:58.97,-43.22079,173.20132,30.0,5.169
1987-03-11,02:50:47.63,-33.44232,-179.92993,99.2708,5.3
1987-03-15,21:44:04.22,-33.17054,-179.26093,267.667,5.088
1987-03-18,13:37:36.73,-33.9752,179.96533,356.1777,5.084
1987-03-20,23:12:07.37,-37.32397,176.78302,187.015,5.086
1987-03-22,12:12:35.81,-37.17083,176.75157,358.8378,5.4
1987-03-26,20:52:07.14,-34.30436,179.66302,236.6376,5.039
1987-04-06,17:35:32.98,-33.89054,177.39194,619.194,5.333
1987-05-04,09:44:18.05,-39.06245,174.92142,227.4798,4.917
1987-06-08,03:11:39.62,-33.04809,-178.58192,290.0986,4.92
1987-06-11,01:53:41.70,-32.42702,176.9742,385.86,4.895
1987-06-14,05:04:26.96,-35.27621,-178.72989,33.0,5.008
1987-06-22,17:23:53.29,-42.61115,172.37332,12.0,4.881
1987-06-26,10:04:52.53,-36.79811,177.0961,300.4077,5.508
1987-06-27,22:17:16.68,-38.28548,177.86618,80.314,4.89
1987-07-03,22:58:27.83,-41.27008,178.58928,33.0,5.1
1987-07-05,20:06:51.98,-36.7419,177.47203,147.493,5.156
1987-07-25,17:37:51.62,-45.9758,165.29805,12.0,4.946
1987-08-03,14:08:39.34,-37.55243,179.97473,33.0,4.916
1987-08-08,07:48:02.38,-37.07051,179.17442,5.0,5.7
1987-08-08,09:35:05.78,-42.07806,178.2822,33.0,5.026
1987-08-16,02:36:01.12,-36.6982,177.25226,247.9832,4.992
1987-08-19,19:17:01.97,-37.05404,176.82745,242.3108,5.284
1987-09-02,05:23:14.08,-39.21725,174.69878,209.1277,5.426
1987-09-08,23:42:15.47,-34.59916,178.63492,427.1677,5.222
1987-09-18,17:04:57.93,-38.44904,175.83186,177.4174,5.008
1987-09-21,22:47:37.07,-41.26563,173.43846,96.4076,5.215
1987-10-18,16:09:28.76,-35.65072,178.40543,223.4937,4.921
1987-10-27,09:23:06.05,-41.84095,174.33841,12.0,4.867
1987-11-05,19:48:20.83,-38.26655,175.93527,165.2307,5.257
1987-11-05,22:36:52.66,-35.88744,178.38663,202.0501,4.867
1987-11-10,07:07:38.24,-39.76596,173.92259,253.0434,5.024
1987-12-04,07:22:29.20,-45.09928,167.55679,95.7541,5.083
1987-12-06,20:12:46.77,-38.14693,176.1087,169.6664,4.949
1987-12-08,14:33:32.43,-33.87454,-177.77148,12.0,4.942
1987-12-20,05:03:13.96,-38.38546,175.93506,146.7476,5.148
1987-12-21,09:22:59.14,-36.27888,-179.22,93.0023,5.312
1988-01-01,21:03:04.39,-34.68061,-179.27338,12.0,5.284
1988-01-04,04:30:59.24,-34.98096,179.88982,146.9644,5.497
1988-01-04,14:09:29.29,-37.71235,176.18877,324.2398,6.104
1988-01-07,07:29:56.50,-34.76972,-179.60985,125.7287,4.967
1988-01-16,08:00:46.82,-32.72287,-177.87486,33.0,4.88
1988-01-17,13:51:39.54,-33.06416,-178.48962,33.0,5.5
1988-01-18,04:29:29.46,-33.38883,-179.0891,33.0,5.04
1988-01-18,09:53:29.97,-32.64523,-178.43436,33.0,5.3
1988-01-26,06:10:03.33,-33.08843,-179.50764,538.9352,5.154
1988-01-26,16:24:24.42,-36.81068,177.21507,297.4582,5.038
1988-02-02,19:01:32.72,-37.80005,177.49017,42.5888,5.197
1988-02-07,18:15:21.28,-32.50196,-178.18231,364.2711,5.576
1988-02-25,06:42:24.93,-45.27734,167.52167,135.1159,5.334
1988-03-01,08:40:35.27,-38.06595,175.92445,184.536,5.593
1988-03-01,11:06:51.88,-35.02436,179.44005,236.6204,5.145
1988-03-04,11:23:42.13,-33.71524,-179.97433,281.1105,5.049
1988-03-05,07:29:45.97,-34.34825,-178.49734,71.5744,5.004
1988-03-06,08:23:42.04,-34.33346,-178.09076,33.0,4.918
1988-03-08,21:30:56.96,-39.25911,176.3929,82.1094,4.913
