event,date,Time,latitude,longitude,depth,magnitude,DateTime,time,Year,Month,Day,Hour,Minute,Second,i+,N+,T+,R+,dm+,n_child,n_parent,eventdateTime,x_km,y_km,time_days,cluster_id,cluster_probability
5345,1983-12-14,20:56:29.40,-38.36,176.33,5.0,4.62,1983-12-14 20:56:29.400,1443.5780532407407,1983,12,14,20,56,29.4,5343,6.045984139211892e-10,1.4761483789569102e-05,4.095783476376652e-05,-0.911,0.5392249228286993,0.0414788402175922,1983-12-14 20:56:29.400,1860.4042613290808,-66.3805049135947,1443.4787601851851,60,1.0
5593,1984-02-21,08:23:40.74,-38.9,175.7,8.0,5.33,1984-02-21 08:23:40.740,1512.055267824074,1984,2,21,8,23,40.74,4977,0.0,2.4241137633143577,0.0,-1.83,1.4517594076157287,0.0829576804351845,1984-02-21 08:23:40.740,1793.0563208766268,-112.5671780033888,1511.9559747685184,61,0.6982723878007611
6102,1984-06-24,13:29:40.72,-43.58659,170.63451,12.0,6.1,1984-06-24 13:29:40.720,1636.2677675925927,1984,6,24,13,29,40.72,5617,0.0001084866819616,1.1716355151681916,9.259422453246344e-05,-2.191,9.083866007652704,0.0414788402175922,1984-06-24 13:29:40.720,1268.9810259250785,-538.8136146142854,1636.168474537037,32,1.0
6406,1984-09-21,16:46:58.84,-37.99,176.85001,152.0,4.988,1984-09-21 16:46:58.840,1725.4047828703706,1984,9,21,16,46,58.84,5216,9.266507654195332e-06,0.6918274797788317,1.3394246289779807e-05,0.1719999999999997,0.165915360870369,0.663661443481476,1984-09-21 16:46:58.840,1914.4522020837446,-36.89490301874244,1725.3054898148148,48,0.9456252059265936
6949,1984-12-30,21:36:54.86,-36.59,177.55,12.0,6.7,1984-12-30 21:36:54.860,1825.606125694444,1984,12,30,21,36,54.86,6804,0.0,0.0084274741766683,0.0,-2.42,17.462591731606338,0.1244365206527767,1984-12-30 21:36:54.860,2012.3225703922444,100.92739291397201,1825.506832638889,94,0.885860978945373
8014,1985-04-25,23:27:07.50,-40.15,174.97,16.0,4.964,1985-04-25 23:27:07.500,1941.6826608796296,1985,4,25,23,27,7.5,7827,1.3426714482307572e-05,0.5643437898158828,2.379172895069517e-05,-1.1140000000000003,0.7880979641342528,0.0414788402175922,1985-04-25 23:27:07.500,1700.1829404914993,-235.05859779823692,1941.583367824074,78,0.9992585939706076
8227,1985-06-12,02:04:07.62,-45.13,167.67,86.0,5.1,1985-06-12 02:04:07.620,1988.7916900462965,1985,6,12,2,4,7.62,8166,6.993832949555301e-06,0.0703063023760493,9.947661465891324e-05,-0.657,0.4562672423935147,0.2073942010879612,1985-06-12 02:04:07.620,1006.5722644947291,-669.8191319908163,1988.6923969907407,3,1.0
8048,1985-05-06,17:10:05.20,-37.69,179.73,33.0,6.3,1985-05-06 17:10:05.200,1952.420828703704,1985,5,6,17,10,5.2,966,2.8492374377994694e-05,3.4097979251321657,8.35603018231361e-06,-1.0999999999999996,3.276828377189788,0.3733095619583302,1985-05-06 17:10:05.200,2168.017107971526,-70.01022675398725,1952.3215356481483,95,0.8630350063804074
9499,1986-07-07,05:18:05.06,-40.9,174.7,50.0,4.586,1986-07-07 05:18:05.060,2378.926382638889,1986,7,7,5,18,5.06,9497,1.2127710139086964e-05,0.0005233714560351,0.0231722804123887,-2.1530000000000005,0.995492165222214,0.0414788402175922,1986-07-07 05:18:05.060,1659.0424133247943,-312.0493356968884,2378.8270895833334,128,0.9475012937153277
10576,1987-02-25,19:11:25.39,-37.71513,176.53258,5.0,4.402,1987-02-25 19:11:25.390,2612.505090162037,1987,2,25,19,11,25.39,10553,1.4049082642036778e-07,0.0294173886589549,4.775774901338865e-06,-0.4380000000000001,0.8710556445694373,0.2073942010879612,1987-02-25 19:11:25.390,1894.6032315735345,-0.06110661472339017,2612.4057971064817,129,1.0
10718,1987-03-02,01:42:34.99,-37.89126,176.80247,10.0,6.5,1987-03-02 01:42:34.990,2616.776729050926,1987,3,2,1,42,34.99,10716,1.171842046001402e-10,4.332138505474587e-06,2.7049967227975933e-05,-2.149,39.6122924078006,0.0829576804351845,1987-03-02 01:42:34.990,1913.030680026576,-25.075911058908645,2616.67743599537,130,0.44680887756556864
24957,1990-03-28,03:30:13.90,-38.17632,176.33833,145.6936,6.047,1990-03-28 03:30:13.900,3738.851484953704,1990,3,28,3,30,13.9,24953,2.350017831743773e-06,0.0001579798809952,0.0148754247499042,-0.5379999999999994,9.95492165222214,0.5392249228286993,1990-03-28 03:30:13.900,1865.925373916004,-46.45260143541671,3738.752191898148,192,0.9645771831414032
14976,1988-04-29,05:16:31.44,-40.43263,173.82242,129.2962,5.502,1988-04-29 05:16:31.440,3040.9252990740742,1988,4,29,5,16,31.44,14047,4.563674218810138e-05,0.3513197214388309,0.0001299008834494,-0.8969999999999994,4.97746082611107,0.829576804351845,1988-04-29 05:16:31.440,1598.0619031613696,-244.58356213546085,3040.8260060185185,151,0.9399757767437259
15425,1988-06-03,23:27:34.51,-45.11958,167.28893,73.0,6.7,1988-06-03 23:27:34.510,3076.6829734953703,1988,6,3,23,27,34.51,14250,4.197734683408203e-05,0.1785157612355389,0.0002351464461375,-1.3660000000000003,68.93783244163832,1.65915360870369,1988-06-03 23:27:34.510,977.05868089906,-664.2709682245764,3076.583680439815,56,0.686596682811608
17508,1988-10-15,22:22:36.44,-44.9037,167.5621,84.6991,4.068,1988-10-15 22:22:36.440,3210.637856944444,1988,10,15,22,22,36.44,15424,3.1105360417593446e-06,0.0474742979205441,6.552042216538567e-05,2.632000000000001,0.0414788402175922,68.93783244163832,1988-10-15 22:22:36.440,1002.0045090604523,-643.5816999240869,3210.5385638888893,57,1.0
20555,1989-05-31,05:54:23.12,-45.32543,166.86928,23.0,6.4,1989-05-31 05:54:23.120,3437.9515916666664,1989,5,31,5,54,23.12,15424,1.3438789032949628e-05,0.1280354516894323,0.0001049614685278,0.2999999999999998,17.835901293564667,68.93783244163832,1989-05-31 05:54:23.120,941.0296742935193,-682.3188280771495,3437.8522986111116,49,0.9471931338778177
23329,1990-02-10,03:27:41.96,-42.2453,172.64594,12.6662,5.9,1990-02-10 03:27:41.960,3692.849726388889,1990,2,10,3,27,41.96,23322,4.6845414558460005e-07,0.0029640515337239,0.0001580452094893,-1.7310000000000008,18.914351139222067,0.2903518815231458,1990-02-10 03:27:41.960,1459.4011474171264,-422.97571721988805,3692.750433333333,137,0.33157123496514046
23771,1990-02-19,05:34:37.83,-40.46777,176.4364,33.8151,6.2,1990-02-19 05:34:37.830,3701.937873032408,1990,2,19,5,34,37.83,23762,2.069257334553029e-06,0.0065942944288334,0.0003137951083144,-2.645,33.34898753494417,0.1244365206527767,1990-02-19 05:34:37.830,1813.0570376055211,-299.07426950958927,3701.838579976852,154,0.8570623940898411
25640,1990-05-13,04:23:10.19,-40.42669,176.47076,29.9859,6.4,1990-05-13 04:23:10.190,3784.888247569444,1990,5,13,4,23,10.19,23770,3.1542999512768444e-07,0.0531885745344735,5.93040888740574e-06,-0.2000000000000001,71.42656285469386,33.34898753494417,1990-05-13 04:23:10.190,1816.9999679073755,-295.29513418002523,3784.788954513889,155,0.9944755223145698
72317,1994-09-10,09:32:31.91,-37.9811,176.87115,126.3044,5.945,1994-09-10 09:32:31.910,5366.103082291666,1994,9,10,9,32,31.91,72310,6.003190599316968e-06,0.0002371638245136,0.0253124211149303,-1.335,12.73400394680082,0.2073942010879612,1994-09-10 09:32:31.910,1916.4926616932776,-36.3746273050988,5366.003789236111,220,0.9511705351301669
28212,1990-10-04,23:48:26.73,-41.68313,175.51021,22.3497,5.6,1990-10-04 23:48:26.730,3929.697466782408,1990,10,4,23,48,26.73,28210,1.2991200929127e-07,0.0001724264537978,0.0007534343276791,-3.332,6.63661443481476,0.0829576804351845,1990-10-04 23:48:26.730,1704.94072860925,-413.317275715955,3929.5981737268517,163,0.9658534479300156
30439,1991-01-28,18:00:54.52,-41.90484,171.72807,17.3512,6.0,1991-01-28 18:00:54.520,4045.45612175926,1991,1,28,18,0,54.52,30364,3.093452199634742e-09,0.0002161739347504,1.4310014772160066e-05,-0.2000000000000001,20.11723750553224,4.147884021759225,1991-01-28 18:00:54.520,1392.5081469488396,-370.5962311189248,4045.3568287037037,135,0.9754249188071953
36551,1991-11-09,19:35:32.85,-44.626,167.70177,6.7189,5.473,1991-11-09 19:35:32.850,4330.5218431712965,1991,11,9,19,35,32.85,36549,2.4490968645909262e-06,0.0001358804360133,0.0180239108472529,-2.567,3.7330956195833034,0.0414788402175922,1991-11-09 19:35:32.850,1017.6677850506878,-614.5682618403065,4330.422550115741,88,0.862336508528488
33389,1991-06-09,11:01:35.05,-40.11396,174.40697,106.284,5.911,1991-06-09 11:01:35.050,4177.164924189815,1991,6,9,11,1,35.05,21397,2.9510942413352063e-06,1.1095756868754405,2.659660153193761e-06,-0.5109999999999992,19.080266500092435,5.433728068504585,1991-06-09 11:01:35.050,1654.293443950876,-220.41298613604062,4177.065631134259,177,1.0
